empresa,nombre,grupo,anio,indicador,valor,fuente
cencosud,Cencosud S.A.,Paulmann,2011,roe,0.099468,xbrl
cencosud,Cencosud S.A.,Paulmann,2011,rotacion_activos,1.008614,xbrl
cencosud,Cencosud S.A.,Paulmann,2011,excedente_capital,0.720405,xbrl
cencosud,Cencosud S.A.,Paulmann,2012,patrimonio,3412211744000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2012,patrimonio_real,5960321810372.928,xbrl
cencosud,Cencosud S.A.,Paulmann,2012,activos,9743589843000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2012,ingresos,9149077107000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2012,utilidad,272809130000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2012,margen_bruto,0.284318,xbrl
cencosud,Cencosud S.A.,Paulmann,2012,margen_neto,0.029818,xbrl
cencosud,Cencosud S.A.,Paulmann,2012,roa,0.027999,xbrl
cencosud,Cencosud S.A.,Paulmann,2012,roe,0.079131,xbrl
cencosud,Cencosud S.A.,Paulmann,2012,rotacion_activos,0.938984,xbrl
cencosud,Cencosud S.A.,Paulmann,2012,excedente_capital,0.762334,xbrl
cencosud,Cencosud S.A.,Paulmann,2013,patrimonio,4261367089000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2013,patrimonio_real,7225275740412.17,xbrl
cencosud,Cencosud S.A.,Paulmann,2013,activos,10065234213000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2013,ingresos,10134158210000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2013,utilidad,229764796000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2013,margen_bruto,0.277271,xbrl
cencosud,Cencosud S.A.,Paulmann,2013,margen_neto,0.022672,xbrl
cencosud,Cencosud S.A.,Paulmann,2013,roa,0.022828,xbrl
cencosud,Cencosud S.A.,Paulmann,2013,roe,0.053958,xbrl
cencosud,Cencosud S.A.,Paulmann,2013,rotacion_activos,1.006848,xbrl
cencosud,Cencosud S.A.,Paulmann,2013,excedente_capital,0.659391,xbrl
cencosud,Cencosud S.A.,Paulmann,2014,patrimonio,4289703543000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2014,patrimonio_real,6950799687382.335,xbrl
cencosud,Cencosud S.A.,Paulmann,2014,activos,10716503229000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2014,ingresos,10711029246000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2014,utilidad,191024078000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2014,margen_bruto,0.269218,xbrl
cencosud,Cencosud S.A.,Paulmann,2014,margen_neto,0.017834,xbrl
cencosud,Cencosud S.A.,Paulmann,2014,roa,0.017825,xbrl
cencosud,Cencosud S.A.,Paulmann,2014,roe,0.044705,xbrl
cencosud,Cencosud S.A.,Paulmann,2014,rotacion_activos,0.999489,xbrl
cencosud,Cencosud S.A.,Paulmann,2014,excedente_capital,0.672214,xbrl
cencosud,Cencosud S.A.,Paulmann,2015,patrimonio,3970811818000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2015,patrimonio_real,6163525870394.145,xbrl
cencosud,Cencosud S.A.,Paulmann,2015,activos,10110725310000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2015,ingresos,10991337710000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2015,utilidad,231984919000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2015,margen_bruto,0.289147,xbrl
cencosud,Cencosud S.A.,Paulmann,2015,margen_neto,0.021106,xbrl
cencosud,Cencosud S.A.,Paulmann,2015,roa,0.022944,xbrl
cencosud,Cencosud S.A.,Paulmann,2015,roe,0.058398,xbrl
cencosud,Cencosud S.A.,Paulmann,2015,rotacion_activos,1.087097,xbrl
cencosud,Cencosud S.A.,Paulmann,2015,excedente_capital,0.800368,xbrl
cencosud,Cencosud S.A.,Paulmann,2016,patrimonio,4084051735000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2016,patrimonio_real,6172692969003.29,xbrl
cencosud,Cencosud S.A.,Paulmann,2016,activos,10164455283000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2016,ingresos,10333001434000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2016,utilidad,387797470000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2016,margen_bruto,0.288061,xbrl
cencosud,Cencosud S.A.,Paulmann,2016,margen_neto,0.03753,xbrl
cencosud,Cencosud S.A.,Paulmann,2016,roa,0.038152,xbrl
cencosud,Cencosud S.A.,Paulmann,2016,roe,0.094916,xbrl
cencosud,Cencosud S.A.,Paulmann,2016,rotacion_activos,1.016582,xbrl
cencosud,Cencosud S.A.,Paulmann,2016,excedente_capital,0.728818,xbrl
cencosud,Cencosud S.A.,Paulmann,2017,patrimonio,4009021449000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2017,patrimonio_real,5924868655133.916,xbrl
cencosud,Cencosud S.A.,Paulmann,2017,activos,10024711422000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2017,ingresos,10456987206000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2017,utilidad,440135976000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2017,margen_bruto,0.286714,xbrl
cencosud,Cencosud S.A.,Paulmann,2017,margen_neto,0.04209,xbrl
cencosud,Cencosud S.A.,Paulmann,2017,roa,0.043905,xbrl
cencosud,Cencosud S.A.,Paulmann,2017,roe,0.109719,xbrl
cencosud,Cencosud S.A.,Paulmann,2017,rotacion_activos,1.043121,xbrl
cencosud,Cencosud S.A.,Paulmann,2017,excedente_capital,0.747853,xbrl
cencosud,Cencosud S.A.,Paulmann,2018,patrimonio,4244041924000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2018,patrimonio_real,6115053270446.943,xbrl
cencosud,Cencosud S.A.,Paulmann,2018,activos,10634698845000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2018,ingresos,9646001747000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2018,utilidad,190594477000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2018,margen_bruto,0.286195,xbrl
cencosud,Cencosud S.A.,Paulmann,2018,margen_neto,0.019759,xbrl
cencosud,Cencosud S.A.,Paulmann,2018,roa,0.017922,xbrl
cencosud,Cencosud S.A.,Paulmann,2018,roe,0.045056,xbrl
cencosud,Cencosud S.A.,Paulmann,2018,rotacion_activos,0.907031,xbrl
cencosud,Cencosud S.A.,Paulmann,2018,excedente_capital,0.650474,xbrl
cencosud,Cencosud S.A.,Paulmann,2019,patrimonio,4989921607000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2019,patrimonio_real,6980775580152.825,xbrl
cencosud,Cencosud S.A.,Paulmann,2019,activos,12248307991000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2019,ingresos,9548213456000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2019,utilidad,154617183000.0,xbrl
cencosud,Cencosud S.A.,Paulmann,2019,margen_bruto,0.279732,xbrl
cencosud,Cencosud S.A.,Paulmann,2019,margen_neto,0.016193,xbrl
cencosud,Cencosud S.A.,Paulmann,2019,roa,0.012624,xbrl
cencosud,Cencosud S.A.,Paulmann,2019,roe,0.025686,xbrl
cencosud,Cencosud S.A.,Paulmann,2019,rotacion_activos,0.779554,xbrl
cencosud,Cencosud S.A.,Paulmann,2019,excedente_capital,0.535268,xbrl
quinenco,Quiñenco S.A.,Luksic,2009,patrimonio,2273619754000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2009,patrimonio_real,4312017629110.4224,xbrl
quinenco,Quiñenco S.A.,Luksic,2009,activos,19320340925000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2009,ingresos,254128275000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2009,utilidad,287126178000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2009,margen_bruto,0.288296,xbrl
quinenco,Quiñenco S.A.,Luksic,2009,margen_neto,1.129847,xbrl
quinenco,Quiñenco S.A.,Luksic,2009,roa,0.014861,xbrl
quinenco,Quiñenco S.A.,Luksic,2009,roe,0.122462,xbrl
quinenco,Quiñenco S.A.,Luksic,2009,rotacion_activos,0.013153,xbrl
quinenco,Quiñenco S.A.,Luksic,2009,excedente_capital,0.032224,xbrl
quinenco,Quiñenco S.A.,Luksic,2010,patrimonio,2725775344000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2010,patrimonio_real,5046050718949.84,xbrl
quinenco,Quiñenco S.A.,Luksic,2010,activos,20425017615000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2010,ingresos,304632414000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2010,utilidad,483824686000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2010,margen_bruto,0.279775,xbrl
quinenco,Quiñenco S.A.,Luksic,2010,margen_neto,1.588225,xbrl
quinenco,Quiñenco S.A.,Luksic,2010,roa,0.023688,xbrl
quinenco,Quiñenco S.A.,Luksic,2010,roe,0.191776,xbrl
quinenco,Quiñenco S.A.,Luksic,2010,rotacion_activos,0.014915,xbrl
quinenco,Quiñenco S.A.,Luksic,2010,excedente_capital,0.031268,xbrl
quinenco,Quiñenco S.A.,Luksic,2011,patrimonio,3053884733000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2011,patrimonio_real,5413163383479.15,xbrl
quinenco,Quiñenco S.A.,Luksic,2011,activos,24250741878000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2011,ingresos,1055401400000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2011,utilidad,334195719000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2011,margen_bruto,0.157843,xbrl
quinenco,Quiñenco S.A.,Luksic,2011,margen_neto,0.316653,xbrl
quinenco,Quiñenco S.A.,Luksic,2011,roa,0.013781,xbrl
quinenco,Quiñenco S.A.,Luksic,2011,roe,0.056391,xbrl
quinenco,Quiñenco S.A.,Luksic,2011,rotacion_activos,0.04352,xbrl
quinenco,Quiñenco S.A.,Luksic,2011,excedente_capital,0.054549,xbrl
quinenco,Quiñenco S.A.,Luksic,2012,patrimonio,3588472638000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2012,patrimonio_real,6268207642098.155,xbrl
quinenco,Quiñenco S.A.,Luksic,2012,activos,26091082288000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2012,ingresos,1448295866000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2012,utilidad,426442925000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2012,margen_bruto,0.125439,xbrl
quinenco,Quiñenco S.A.,Luksic,2012,margen_neto,0.294445,xbrl
quinenco,Quiñenco S.A.,Luksic,2012,roa,0.016344,xbrl
quinenco,Quiñenco S.A.,Luksic,2012,roe,0.07374,xbrl
quinenco,Quiñenco S.A.,Luksic,2012,rotacion_activos,0.055509,xbrl
quinenco,Quiñenco S.A.,Luksic,2012,excedente_capital,0.050627,xbrl
quinenco,Quiñenco S.A.,Luksic,2013,patrimonio,4426793335000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2013,patrimonio_real,7505760903292.55,xbrl
quinenco,Quiñenco S.A.,Luksic,2013,activos,29471929913000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2013,ingresos,2022773208000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2013,utilidad,432504234000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2013,margen_bruto,0.112815,xbrl
quinenco,Quiñenco S.A.,Luksic,2013,margen_neto,0.213817,xbrl
quinenco,Quiñenco S.A.,Luksic,2013,roa,0.014675,xbrl
quinenco,Quiñenco S.A.,Luksic,2013,roe,0.051643,xbrl
quinenco,Quiñenco S.A.,Luksic,2013,rotacion_activos,0.068634,xbrl
quinenco,Quiñenco S.A.,Luksic,2013,excedente_capital,0.05155,xbrl
quinenco,Quiñenco S.A.,Luksic,2014,patrimonio,5532530142000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2014,patrimonio_real,8964607552938.99,xbrl
quinenco,Quiñenco S.A.,Luksic,2014,activos,32200066891000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2014,ingresos,2540694169000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2014,utilidad,801898914000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2014,margen_bruto,0.10439,xbrl
quinenco,Quiñenco S.A.,Luksic,2014,margen_neto,0.315622,xbrl
quinenco,Quiñenco S.A.,Luksic,2014,roa,0.024904,xbrl
quinenco,Quiñenco S.A.,Luksic,2014,roe,0.120689,xbrl
quinenco,Quiñenco S.A.,Luksic,2014,rotacion_activos,0.078903,xbrl
quinenco,Quiñenco S.A.,Luksic,2014,excedente_capital,0.047939,xbrl
quinenco,Quiñenco S.A.,Luksic,2015,patrimonio,6084899571000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2015,patrimonio_real,9445029793302.768,xbrl
quinenco,Quiñenco S.A.,Luksic,2015,activos,35999722782000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2015,ingresos,1917120577000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2015,utilidad,451316118000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2015,margen_bruto,0.122103,xbrl
quinenco,Quiñenco S.A.,Luksic,2015,margen_neto,0.235414,xbrl
quinenco,Quiñenco S.A.,Luksic,2015,roa,0.012537,xbrl
quinenco,Quiñenco S.A.,Luksic,2015,roe,0.031974,xbrl
quinenco,Quiñenco S.A.,Luksic,2015,rotacion_activos,0.053254,xbrl
quinenco,Quiñenco S.A.,Luksic,2015,excedente_capital,0.03847,xbrl
quinenco,Quiñenco S.A.,Luksic,2016,patrimonio,6392380722000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2016,patrimonio_real,9661533716560.908,xbrl
quinenco,Quiñenco S.A.,Luksic,2016,activos,36777191532000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2016,ingresos,2146958428000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2016,utilidad,548909951000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2016,margen_bruto,0.160005,xbrl
quinenco,Quiñenco S.A.,Luksic,2016,margen_neto,0.255669,xbrl
quinenco,Quiñenco S.A.,Luksic,2016,roa,0.014925,xbrl
quinenco,Quiñenco S.A.,Luksic,2016,roe,0.058994,xbrl
quinenco,Quiñenco S.A.,Luksic,2016,rotacion_activos,0.058377,xbrl
quinenco,Quiñenco S.A.,Luksic,2016,excedente_capital,0.05374,xbrl
quinenco,Quiñenco S.A.,Luksic,2017,patrimonio,6552790468000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2017,patrimonio_real,9684264188009.71,xbrl
quinenco,Quiñenco S.A.,Luksic,2017,activos,37982419835000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2017,ingresos,2381154111000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2017,utilidad,448436104000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2017,margen_bruto,0.149214,xbrl
quinenco,Quiñenco S.A.,Luksic,2017,margen_neto,0.188327,xbrl
quinenco,Quiñenco S.A.,Luksic,2017,roa,0.011806,xbrl
quinenco,Quiñenco S.A.,Luksic,2017,roe,0.03669,xbrl
quinenco,Quiñenco S.A.,Luksic,2017,rotacion_activos,0.062691,xbrl
quinenco,Quiñenco S.A.,Luksic,2017,excedente_capital,0.054222,xbrl
quinenco,Quiñenco S.A.,Luksic,2018,patrimonio,7121042409000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2018,patrimonio_real,10260396681262.104,xbrl
quinenco,Quiñenco S.A.,Luksic,2018,activos,41736082582000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2018,ingresos,2666436710000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2018,utilidad,586276071000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2018,margen_bruto,0.120438,xbrl
quinenco,Quiñenco S.A.,Luksic,2018,margen_neto,0.219872,xbrl
quinenco,Quiñenco S.A.,Luksic,2018,roa,0.014047,xbrl
quinenco,Quiñenco S.A.,Luksic,2018,roe,0.05615,xbrl
quinenco,Quiñenco S.A.,Luksic,2018,rotacion_activos,0.063888,xbrl
quinenco,Quiñenco S.A.,Luksic,2018,excedente_capital,0.045097,xbrl
quinenco,Quiñenco S.A.,Luksic,2019,patrimonio,7499391944000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2019,patrimonio_real,10491461844857.4,xbrl
quinenco,Quiñenco S.A.,Luksic,2019,activos,47696197083000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2019,ingresos,2944684391000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2019,utilidad,685540876000.0,xbrl
quinenco,Quiñenco S.A.,Luksic,2019,margen_bruto,0.134085,xbrl
quinenco,Quiñenco S.A.,Luksic,2019,margen_neto,0.232806,xbrl
quinenco,Quiñenco S.A.,Luksic,2019,roa,0.014373,xbrl
quinenco,Quiñenco S.A.,Luksic,2019,roe,0.060248,xbrl
quinenco,Quiñenco S.A.,Luksic,2019,rotacion_activos,0.061738,xbrl
quinenco,Quiñenco S.A.,Luksic,2019,excedente_capital,0.052649,xbrl
